HHI,alpha,average_first_publish_to_top10_days,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
2.1829041062302514,0.0,9000.0,1.0,0.13444583461739545,5095.0,100.0,36,247,8.446797413719631,0.0,0.0022806455917735967,4000487.0
2.2102013706349495,0.0,9000.0,1.0,0.13692895053801699,5041.0,100.0,37,248,8.434597550542453,0.0,0.0023126086943498184,3960456.0
2.117199305360759,0.0,9000.0,1.0,0.13439710864731655,5258.0,100.0,38,249,8.47702030094476,0.0,0.0022091289951541916,4148796.0
2.156036665117811,0.0,9000.0,1.0,0.1344906870157241,5161.0,100.0,39,250,8.458943539400904,0.0,0.002251289676420211,4047832.0
2.116206346331998,0.0,9000.0,1.0,0.13701627050923906,5266.0,100.0,40,251,8.47826182496873,0.0,0.002213879215813175,4092496.0
2.097993547745581,0.0,9000.0,1.0,0.13508723503247255,5307.0,100.0,41,252,8.4862844399071,0.0,0.002190921685202343,4136327.0
2.132112571331941,0.0,9000.0,1.0,0.13488009980118026,5220.0,100.0,42,253,8.470462255939445,0.0,0.0022269956870685443,4107317.0
2.129852315231918,0.0,9000.0,1.0,0.13823211587279377,5236.0,100.0,43,254,8.471997084526347,0.0,0.0022302601204302816,4028932.0
2.1293883099013255,0.0,9000.0,1.0,0.13509963315003398,5230.0,100.0,44,255,8.471376725762896,0.0,0.002223038455822404,4074763.0
2.1561078211647313,0.0,9000.0,1.0,0.1379149831925467,5170.0,100.0,45,256,8.45987820617187,0.0,0.0022579750965568213,3945355.0
2.157475194585418,0.0,9000.0,1.0,0.13546878573545645,5164.0,100.0,46,257,8.458593483018397,0.0,0.0022523995329894525,4033762.0
2.1595419277921297,0.0,9000.0,1.0,0.13560699660895945,5152.0,100.0,47,258,8.45755011512074,0.0,0.002259255410845763,4001792.0
2.1404835599434895,0.0,9000.0,1.0,0.13554220069088826,5201.0,100.0,48,259,8.466389153406542,0.0,0.0022372545411191032,4048879.0
2.1240358157494503,0.0,9000.0,1.0,0.1355582294762164,5240.0,100.0,49,260,8.474118642840606,0.0,0.0022208426762799893,4063469.0
2.141482792436395,0.01,9000.0,0.9999997830304725,0.1352794195992188,5196.0,100.0,0,1211,8.465753402249925,0.0,0.0022389050124675294,4021772.0
2.1392252852199114,0.01,9000.0,0.999999780853147,0.13643301989410037,5208.0,100.0,1,1212,8.467267542889534,0.0,0.002236715237773768,4035959.0
2.1324788702564312,0.01,9000.0,0.9999997828190864,0.13480725441258934,5221.0,100.0,2,1213,8.469901877613767,0.0,0.0022260766806516,4120365.0
2.1355439921260073,0.01,9000.0,0.999999781957386,0.13515054333161713,5215.0,100.0,3,1214,8.46866827526534,0.0,0.0022295941367533705,4065208.0
2.152109133839577,0.01,9000.0,0.9999997839551497,0.1337607030145632,5165.0,100.0,4,1215,8.46074242817277,0.0,0.002247799857539664,3998328.0
2.1357999710854902,0.01,9000.0,0.99999978354196,0.13462330331353686,5210.0,100.0,5,1216,8.467944786471405,0.0,0.002230634784273664,4067703.0
2.119713702416508,0.01,9000.0,0.9999997850049633,0.13459221183372813,5250.0,100.0,6,1217,8.47579084660106,0.0,0.0022134093554937134,4126787.0
2.135396541796908,0.01,9000.0,0.9999997821048678,0.13645938065582164,5215.0,100.0,7,1218,8.468829865842807,0.0,0.0022341793855431566,4024702.0
2.108129131806504,0.01,9000.0,0.9999997854087158,0.13491086419407125,5281.0,100.0,8,1219,8.481402615478105,0.0,0.0022011866240839277,4153161.0
2.1300729760860135,0.01,9000.0,0.9999997826604666,0.135953408157632,5228.0,100.0,9,1220,8.47156110381113,0.0,0.0022268448541332146,4107783.0
2.1899833258831056,0.01,9000.0,0.9999997761518569,0.13606876834108664,5086.0,100.0,10,1221,8.443920520959782,0.0,0.0022892712927212945,3927948.0
