HHI,average_first_publish_to_top10_days,decay_floor,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
1.0695461590217652,9000.0,0.01,0.9999945436667599,0.13571151809656132,10412.0,100.0,19,419,9.160362293796974,0.0,0.0011176992423299367,8134736.0
1.0546662313232107,9000.0,0.01,0.9999946685199301,0.13448319699812977,10548.0,100.0,20,420,9.17400837687604,0.0,0.0011016029312883942,8287465.0
1.0492860486237214,9000.0,0.01,0.9999947272577379,0.1339825722970346,10595.0,100.0,21,421,9.17907618364657,0.0,0.001096123437235707,8313613.0
1.0634870622175114,9000.0,0.01,0.9999946216960635,0.1350339080763219,10461.0,100.0,22,422,9.165873565928141,0.0,0.0011116881644753233,8160265.0
1.062117257262217,9000.0,0.01,0.9999945807777502,0.13575762686194565,10485.0,100.0,23,423,9.16725216856155,0.0,0.0011100067748667892,8235747.0
1.0792740284493134,9000.0,0.01,0.9999944900570263,0.1355620812501412,10319.0,100.0,24,424,9.151055019309771,0.0,0.0011275019277436134,8098865.0
1.0649526538485794,9000.0,0.01,0.9999945987258059,0.13490726848686863,10450.0,100.0,25,425,9.164386067011128,0.0,0.0011125272839104204,8169604.0
1.0663134532788339,9000.0,0.01,0.9999945581691153,0.13566865879152112,10444.0,100.0,26,426,9.16345649955397,0.0,0.0011141870127836402,8226650.0
1.0475489669634335,9000.0,0.01,0.9999946852902871,0.13528616409202107,10624.0,100.0,27,427,9.180949569729615,0.0,0.0010949234789388936,8324167.0
1.0612274592042439,9000.0,0.01,0.9999945889115447,0.13581329861319022,10493.0,100.0,28,428,9.16800730165721,0.0,0.0011092969601482776,8225576.0
1.0630718804781996,9000.0,0.01,0.9999946196209721,0.13465241149505705,10466.0,100.0,29,429,9.166103543476025,0.0,0.0011104742240722312,8201837.0
1.0530161821557094,9000.0,0.01,0.9999946210513492,0.13585898197679724,10577.0,100.0,30,430,9.17597112179668,0.0,0.0011004730675547995,8321004.0
1.0548322813687636,9000.0,0.01,0.9999945794558013,0.13643313665404086,10566.0,100.0,31,431,9.174247016207737,0.0,0.0011023367182680746,8347801.0
1.0677377133029635,9000.0,0.01,0.9999945374296599,0.13623612068123156,10433.0,100.0,32,432,9.162162452995679,0.0,0.001116246865692551,8169491.0
1.0525205163508033,9000.0,0.01,0.9999946547783168,0.13513299656762848,10575.0,100.0,33,433,9.17616900604441,0.0,0.0010996966408980012,8313261.0
1.0695513224803495,9000.0,0.01,0.999994552635432,0.1358589531843699,10410.0,100.0,34,434,9.160230210158263,0.0,0.0011182682331887836,8202433.0
1.0746363632481184,9000.0,0.01,0.9999945441681308,0.1353907229511375,10357.0,100.0,35,435,9.155478946445923,0.0,0.001123303003062619,8088431.0
1.06460812268879,9000.0,0.01,0.9999945884954925,0.13488706977615111,10456.0,100.0,36,436,9.164605078793295,0.0,0.0011117598071350796,8181680.0
1.0685605399799645,9000.0,0.01,0.9999945883406066,0.13450564086505495,10413.0,100.0,37,437,9.160808472188602,0.0,0.0011158578973183436,8192841.0
1.073418478837988,9000.0,0.01,0.9999945213040687,0.13641471820378415,10375.0,100.0,38,438,9.156742416107722,0.0,0.0011229156327853182,8088654.0
1.0383791606809212,9000.0,0.01,0.9999947049280722,0.13573224687578464,10724.0,100.0,39,439,9.189874109215337,0.0,0.0010852459164417728,8356802.0
1.0636703087946047,9000.0,0.01,0.9999946033956806,0.13483418381517442,10463.0,100.0,40,440,9.165351251466799,0.0,0.0011110075379549055,8294925.0
1.0789909198899934,9000.0,0.01,0.9999945183062087,0.13533562086941517,10316.0,100.0,41,441,9.151417107289355,0.0,0.0011276443026666447,8125775.0
1.05780317740744,9000.0,0.01,0.999994574661677,0.13625423929267894,10534.0,100.0,42,442,9.171221825368487,0.0,0.0011054739143935388,8291994.0
1.0573385640922264,9000.0,0.01,0.9999946927164894,0.13342972993001825,10513.0,100.0,43,443,9.171167210744006,0.0,0.0011037858403158106,8286674.0
1.0560531834331703,9000.0,0.01,0.9999946351476104,0.13482403656266262,10540.0,100.0,44,444,9.172597554925503,0.0,0.0011028225334697714,8295478.0
1.0656560406821085,9000.0,0.01,0.9999945818761743,0.13572463395413897,10446.0,100.0,45,445,9.164022174449208,0.0,0.0011142548659481607,8169625.0
1.05176075072112,9000.0,0.01,0.9999946614909759,0.13439957168163238,10582.0,100.0,46,446,9.176590084354055,0.0,0.0010977561069299118,8335672.0
1.0630133875811068,9000.0,0.01,0.9999946225459121,0.13397086498917174,10466.0,100.0,47,447,9.165850180919847,0.0,0.0011093384146369455,8250266.0
1.0453764832646044,9000.0,0.01,0.9999946922486543,0.1349872129390048,10647.0,100.0,48,448,9.18293829680237,0.0,0.0010920310448083348,8397734.0
1.066271401122446,9000.0,0.01,0.9999945832045459,0.13501604207934284,10439.0,100.0,49,449,9.163145749395127,0.0,0.0011138043410040496,8217755.0
1.0472097494561732,9000.0,0.01,0.9999946801118046,0.13478774549932673,10629.0,100.0,50,450,9.181197494266462,0.0,0.0010935120082265957,8428526.0
1.0661904249935097,9000.0,0.01,0.9999945872537621,0.1353238618332916,10439.0,100.0,51,451,9.163375812533342,0.0,0.0011143686768537262,8181709.0
1.0552577223175645,9000.0,0.01,0.9999945940413117,0.13622374413440755,10558.0,100.0,52,452,9.173686833415756,0.0,0.001102964388701225,8367125.0
1.0494465303041236,9000.0,0.01,0.9999946880713823,0.13458979016654718,10602.0,100.0,53,453,9.178978110284218,0.0,0.0010961311320436353,8361155.0
1.0403972316218204,9000.0,0.01,0.9999947042346896,0.13498473262616695,10701.0,100.0,54,454,9.187633100078003,0.0,0.001086406062913639,8381320.0
1.0729595930039562,9000.0,0.01,0.9999945674894417,0.1348646272513871,10370.0,100.0,55,455,9.156958564594156,0.0,0.0011211014336839987,8087247.0
1.0546642173823924,9000.0,0.01,0.9999946731154313,0.13475309598597093,10547.0,100.0,56,456,9.174138336873845,0.0,0.001102204505589823,8270933.0
1.0540551661994606,9000.0,0.01,0.9999946496897034,0.1349036922878741,10559.0,100.0,57,457,9.174633314717212,0.0,0.001100998577934491,8247569.0
1.0483551727453448,9000.0,0.01,0.9999946671378834,0.13483422578168106,10619.0,100.0,58,458,9.179891347483682,0.0,0.001094569937976202,8378829.0
