HHI,alpha,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
2.117199305360759,0.1,0.9999978462147208,0.13439710864731655,5258.0,100.0,49,249,8.47702030094476,0.0,0.0022091289951541916,4148796.0
2.1142609873223845,0.3,0.9999935076891951,0.13694778664960386,5269.0,100.0,0,1200,8.47928320975635,0.0,0.0022126689082907587,4104220.0
2.1494383721604557,0.3,0.9999934417729418,0.1357162292079802,5179.0,100.0,1,1201,8.462066208905929,0.0,0.0022474084555691646,4023545.0
2.1276650482689026,0.3,0.9999934206508552,0.1374722675284849,5240.0,100.0,2,1202,8.47307311927388,0.0,0.002226114379556608,4095217.0
2.1056262531934524,0.3,0.999993605124795,0.13482136525817234,5284.0,100.0,3,1203,8.482745714950457,0.0,0.0022000732345402603,4051324.0
2.121330660487972,0.3,0.9999935452289235,0.13493725750476226,5246.0,100.0,4,1204,8.475629443730485,0.0,0.0022162335528415475,4059595.0
2.1814566954717156,0.3,0.999993355415692,0.1345281489977503,5102.0,100.0,5,1205,8.4470616058472,0.0,0.0022773041944625333,3977930.0
2.130670003217189,0.3,0.9999934070815895,0.13723574540811453,5233.0,100.0,6,1206,8.471688510505569,0.0,0.002228189873381061,4045510.0
2.150428286033978,0.3,0.9999934568515968,0.13430254268783237,5175.0,100.0,7,1207,8.461480884799848,0.0,0.0022444764223396325,4053349.0
2.1152822285301554,0.3,0.9999936287605354,0.13407907395941404,5255.0,100.0,8,1208,8.478041448518148,0.0,0.002210414456579443,4128480.0
2.167866873707286,0.3,0.9999934194030206,0.13491031585787405,5132.0,100.0,9,1209,8.453455404430558,0.0,0.002265625193920161,4006474.0
2.1496240325137186,0.3,0.9999933803213373,0.13668095368773464,5184.0,100.0,10,1210,8.46249614470843,0.0,0.002247792573037234,4050020.0
2.141482792436395,0.3,0.9999934909346546,0.1352794195992188,5196.0,100.0,11,1211,8.465753402249925,0.0,0.0022389050124675294,4021772.0
2.1392252852199114,0.3,0.9999934256153002,0.13643301989410037,5208.0,100.0,12,1212,8.467267542889534,0.0,0.002236715237773768,4035959.0
2.1324788702564312,0.3,0.999993484593109,0.13480725441258934,5221.0,100.0,13,1213,8.469901877613767,0.0,0.0022260766806516,4120365.0
2.1355439921260073,0.3,0.9999934587422618,0.13515054333161713,5215.0,100.0,14,1214,8.46866827526534,0.0,0.0022295941367533705,4065208.0
2.152109133839577,0.3,0.9999935186747929,0.1337607030145632,5165.0,100.0,15,1215,8.46074242817277,0.0,0.002247799857539664,3998328.0
2.1357999710854902,0.3,0.9999935062791814,0.13462330331353686,5210.0,100.0,16,1216,8.467944786471405,0.0,0.002230634784273664,4067703.0
2.119713702416508,0.3,0.9999935501690068,0.13459221183372813,5250.0,100.0,17,1217,8.47579084660106,0.0,0.0022134093554937134,4126787.0
2.135396541796908,0.3,0.9999934631666876,0.13645938065582164,5215.0,100.0,18,1218,8.468829865842807,0.0,0.0022341793855431566,4024702.0
2.108129131806504,0.3,0.9999935622815062,0.13491086419407125,5281.0,100.0,19,1219,8.481402615478105,0.0,0.0022011866240839277,4153161.0
2.1300729760860135,0.3,0.9999934798345481,0.135953408157632,5228.0,100.0,20,1220,8.47156110381113,0.0,0.0022268448541332146,4107783.0
2.1899833258831056,0.3,0.9999932845775025,0.13606876834108664,5086.0,100.0,21,1221,8.443920520959782,0.0,0.0022892712927212945,3927948.0
2.200124421877872,0.3,0.9999932248860399,0.13701526475503198,5065.0,100.0,22,1222,8.43953574559492,0.0,0.002301755739323679,3914827.0
2.2059550853777163,0.3,0.9999932847804252,0.13528611760284465,5045.0,100.0,23,1223,8.436131719177778,0.0,0.0023057791073999127,3906482.0
2.1510312290091695,0.3,0.9999933269334514,0.138246921299623,5185.0,100.0,24,1224,8.462548438783669,0.0,0.002252119284147332,3930990.0
2.1645288262599482,0.3,0.9999933718335952,0.135847587127284,5145.0,100.0,25,1225,8.455215785094405,0.0,0.0022624000722527736,4007106.0
2.1253895453383373,0.3,0.999993488930016,0.1370185671883122,5240.0,100.0,26,1226,8.474164668910628,0.0,0.0022253767530904275,4002691.0
2.1327968061365934,0.3,0.9999934860628094,0.1357643251567774,5220.0,100.0,27,1227,8.470222939027563,0.0,0.002229794574202006,4064561.0
2.11059795881589,0.3,0.9999936716937956,0.1327853978338218,5264.0,100.0,28,1228,8.479680332312187,0.0,0.002202664464286267,4080063.0
2.1338268298049283,0.3,0.9999934992369236,0.13542695391136242,5216.0,100.0,29,1229,8.46928748537719,0.0,0.0022306069168509034,4069302.0
2.1451892002408783,0.3,0.9999934464793832,0.13477469760840602,5190.0,100.0,30,1230,8.463604726551331,0.0,0.002239319118355779,4091528.0
2.1637068225001164,0.3,0.9999933964988826,0.13517817608422347,5145.0,100.0,31,1231,8.455771903272417,0.0,0.002260343181351934,4021342.0
2.1181707639784686,0.3,0.9999935420866813,0.135257302486762,5255.0,100.0,32,1232,8.476810456622108,0.0,0.0022133942151103606,4079397.0
2.1533527206816205,0.3,0.9999933915173552,0.13603935823050908,5173.0,100.0,33,1233,8.460678336868142,0.0,0.002250606180942746,4043362.0
2.1362362552967196,0.3,0.9999934931879437,0.13510642673751871,5210.0,100.0,34,1234,8.468480992272609,0.0,0.002232058814754298,4082035.0
2.179991758669232,0.3,0.9999933187934874,0.13653973269741798,5109.0,100.0,35,1235,8.448689900681682,0.0,0.002280669266586601,3947402.0
2.103349174704848,0.3,0.9999935876074854,0.13602706300098769,5292.0,100.0,36,1236,8.483982229867049,0.0,0.0022005736837304697,4111901.0
