HHI,average_first_publish_to_top10_days,diversity_factor,gini,n_genes_final,n_seasons_completed,run_idx,season_length_days,seed,shannon_diversity,top10_newcomer_rate,top10_share,total_battles
3.2565502897365977,6000.0,0.9999830250325634,0.143726148760775,3428.0,100.0,47,60,1347,8.049928342228458,0.0,0.0034355195575873606,1827532.0
3.1771519372732357,6000.0,0.9999834255400194,0.14353863421132823,3514.0,100.0,48,60,1348,8.07465285717693,0.0,0.0033500905430306712,1849036.0
3.208731998904655,6000.0,0.999983443390628,0.1426212012109364,3475.0,100.0,49,60,1349,8.06442315212134,0.0,0.003384468018080555,1845010.0
2.1084355522130163,9000.0,0.9999893988373318,0.13396877142636843,5273.0,100.0,0,90,2300,8.481058152568115,0.0,0.0022023644022828833,4108307.0
2.134497156449177,9000.0,0.9999890767833897,0.13609252957498402,5219.0,100.0,1,90,2301,8.469408086604629,0.0,0.0022309400289099784,4076353.0
2.114388238460835,9000.0,0.9999892632932331,0.13516865200123865,5264.0,100.0,2,90,2302,8.478840715262695,0.0,0.0022093242177538067,4104065.0
2.147984968077298,9000.0,0.9999890119932052,0.13631887219765718,5186.0,100.0,3,90,2303,8.463172257897034,0.0,0.0022459026517134507,3984389.0
2.104466693551652,9000.0,0.9999892746752287,0.13625870592528513,5291.0,100.0,4,90,2304,8.483700002061882,0.0,0.002201475291526016,4134722.0
2.169494485592861,9000.0,0.9999889699566585,0.1353385522186318,5131.0,100.0,5,90,2305,8.452976819356694,0.0,0.0022671079905897578,4005056.0
2.1536159574211653,9000.0,0.999989103715698,0.13429441489034405,5166.0,100.0,6,90,2306,8.460084180498342,0.0,0.002248551132571795,4023414.0
2.14796331146872,9000.0,0.999989106138377,0.13492729141722706,5181.0,100.0,7,90,2307,8.462867122271888,0.0,0.0022440042632393404,3974747.0
2.1841304592491197,9000.0,0.9999890423937083,0.13387092786555152,5089.0,100.0,8,90,2308,8.44615178556646,0.0,0.002281792475478562,3969422.0
2.1011375578236926,9000.0,0.999989245072032,0.13689056168705796,5302.0,100.0,9,90,2309,8.485480459358685,0.0,0.002198688611437026,4070564.0
2.1077083064638202,9000.0,0.9999892556883699,0.13572201111671506,5283.0,100.0,10,90,2310,8.481658428528744,0.0,0.00220299019844752,4143635.0
2.1455206460401843,9000.0,0.999989023796492,0.13672414572415784,5192.0,100.0,11,90,2311,8.464377293190104,0.0,0.0022447638254406745,4047383.0
2.1639332903558848,9000.0,0.9999890017590256,0.1361994397590946,5144.0,100.0,12,90,2312,8.455684461043221,0.0,0.0022644561960883194,3986268.0
2.181754709931606,9000.0,0.9999888724048775,0.13552164941829725,5104.0,100.0,13,90,2313,8.44717519071861,0.0,0.0022794929607334257,3990171.0
2.1475946475931105,9000.0,0.9999889943385922,0.1369225326485117,5188.0,100.0,14,90,2314,8.463377744116691,0.0,0.0022470436338884016,4022245.0
2.119712228979866,9000.0,0.9999891597455527,0.1358567799531738,5255.0,100.0,15,90,2315,8.476205731944493,0.0,0.002214907248642744,4120640.0
2.149735878874537,9000.0,0.9999890547670931,0.135707355335776,5179.0,100.0,16,90,2316,8.462125466667718,0.0,0.002247264932275714,4007229.0
2.1001493130765203,9000.0,0.9999894191864416,0.13458689225292078,5295.0,100.0,17,90,2317,8.48534432797944,0.0,0.002195109889991993,4110481.0
2.078708142405094,9000.0,0.9999894681369326,0.1349106405618694,5353.0,100.0,18,90,2318,8.495308727193116,0.0,0.002171969658425773,4139612.0
2.1851063325669973,9000.0,0.9999888201054132,0.13650286262735079,5098.0,100.0,19,90,2319,8.446033485585767,0.0,0.0022853434483331788,4008345.0
2.154009924881333,9000.0,0.9999890278296886,0.13507683703127799,5169.0,100.0,20,90,2320,8.459897169842662,0.0,0.0022493757042281854,4057159.0
2.1678161372256106,9000.0,0.9999890159155871,0.13529786050730944,5133.0,100.0,21,90,2321,8.453848507847963,0.0,0.0022663696310075503,3965345.0
2.1064940422147367,9000.0,0.999989334334989,0.13478679606117808,5282.0,100.0,22,90,2322,8.482275016243317,0.0,0.0022007868648509944,4098743.0
2.1459039708424386,9000.0,0.9999891346623379,0.13346135000421683,5185.0,100.0,23,90,2323,8.463179880974938,0.0,0.0022374370543394727,4094515.0
2.173614476385726,9000.0,0.9999889161142617,0.13569976080149343,5123.0,100.0,24,90,2324,8.451163483936435,0.0,0.00227163797673684,3995910.0
2.1695345869664173,9000.0,0.999988948959593,0.1352583104975146,5132.0,100.0,25,90,2325,8.452833187482618,0.0,0.0022662365570279004,4000688.0
2.10490086771449,9000.0,0.9999893244711323,0.1339645617693499,5287.0,100.0,26,90,2326,8.482802115613456,0.0,0.0021957801754739245,4135368.0
2.1533263493634203,9000.0,0.9999890058970304,0.13627419515706377,5172.0,100.0,27,90,2327,8.460601968689197,0.0,0.0022520566422940115,3994474.0
2.1596404003017886,9000.0,0.9999889901828065,0.13614460895789038,5156.0,100.0,28,90,2328,8.457657766707074,0.0,0.002258713064600518,3985362.0
2.169663818221838,9000.0,0.9999889235125164,0.13586756507022982,5133.0,100.0,29,90,2329,8.453000398653211,0.0,0.002267740523213357,4012864.0
2.1693633745802368,9000.0,0.9999888816296043,0.13636124942048175,5136.0,100.0,30,90,2330,8.45309723449055,0.0,0.00226778735568351,3999083.0
